period,horizon_days,model,observations,test_start,test_end,mae_cop,rmse_cop,mean_error_cop,directional_accuracy,mase_vs_random_walk,skill_vs_random_walk_pct
window_001,30,ridge,125,2023-08-07,2024-01-26,123.6667928166966,160.43010811266083,6.828200240829232,0.456,1.0677491572851325,-6.774915728513253
window_002,30,ridge,125,2024-01-29,2024-07-19,129.8629341340771,173.2252110523522,-110.69125854399039,0.472,1.358810515550287,-35.8810515550287
window_003,30,ridge,125,2024-07-22,2025-01-10,130.18884120926572,159.87896354285203,-111.26677826777406,0.408,1.331463954623928,-33.146395462392796
window_004,30,ridge,125,2025-01-13,2025-07-04,86.67579055025433,110.77079703054186,-16.138516800426906,0.672,0.8123706643679095,18.76293356320905
window_005,30,ridge,125,2025-07-07,2025-12-26,73.92460123872627,86.19725810297233,24.750498902364335,0.768,0.8798980709950499,12.01019290049501
window_006,30,ridge,125,2025-12-29,2026-06-19,118.47467862660945,146.36977041222246,27.257977041240807,0.52,0.9841246996042842,1.587530039571583
window_001,30,huber,125,2023-08-07,2024-01-26,119.08754285533405,158.34719451799063,-16.238152047161453,0.544,1.0282115403074674,-2.821154030746742
window_002,30,huber,125,2024-01-29,2024-07-19,162.84512842834525,205.22289872907166,-156.58464026231184,0.48,1.7039170906620378,-70.39170906620377
window_003,30,huber,125,2024-07-22,2025-01-10,155.61283288886054,183.77476192837975,-143.64421796032053,0.408,1.59147954574227,-59.14795457422699
window_004,30,huber,125,2025-01-13,2025-07-04,114.26027816237203,129.8939193743957,62.272104246407245,0.408,1.0709068529096437,-7.090685290964371
window_005,30,huber,125,2025-07-07,2025-12-26,72.62658070747347,85.83397996073069,25.934467690831518,0.768,0.8644481971719498,13.555180282805024
window_006,30,huber,125,2025-12-29,2026-06-19,119.28994764898282,148.21918741119285,7.70612112238965,0.536,0.9908968334563499,0.9103166543650065
window_001,30,gradient_boosting,125,2023-08-07,2024-01-26,134.45595953794364,178.05762779882278,-111.55697362154336,0.632,1.1609037011366568,-16.090370113665674
window_002,30,gradient_boosting,125,2024-01-29,2024-07-19,94.24159187643876,133.94823954626483,-73.78709635914112,0.624,0.9860894249601003,1.3910575039899675
window_003,30,gradient_boosting,125,2024-07-22,2025-01-10,115.19378796907135,140.24167927213327,-79.07356114050829,0.456,1.1781069333805085,-17.810693338050854
window_004,30,gradient_boosting,125,2025-01-13,2025-07-04,168.0989428600263,194.71065049457417,144.18525847594725,0.408,1.5755108666885085,-57.55108666885085
window_005,30,gradient_boosting,125,2025-07-07,2025-12-26,84.62360906008473,97.36592476565639,73.85096953792502,0.528,1.0072445319272276,-0.7244531927227627
window_006,30,gradient_boosting,125,2025-12-29,2026-06-19,137.1816933406323,176.26693514039837,87.17589732668092,0.432,1.1395168513226495,-13.951685132264945
window_001,30,pca_ridge,125,2023-08-07,2024-01-26,117.39943697540394,161.18894465008609,-27.004243297811374,0.592,1.013636296706098,-1.3636296706097895
window_002,30,pca_ridge,125,2024-01-29,2024-07-19,114.52391482750983,159.51807476895306,-86.87737191782497,0.456,1.1983119031404263,-19.831190314042637
window_003,30,pca_ridge,125,2024-07-22,2025-01-10,111.71052839806525,137.87551328959884,-85.60372063063757,0.48,1.1424830310528231,-14.24830310528231
window_004,30,pca_ridge,125,2025-01-13,2025-07-04,88.02058318254893,111.64801801688942,-13.536738622701264,0.68,0.8249747615119768,17.50252384880232
window_005,30,pca_ridge,125,2025-07-07,2025-12-26,74.28009640577903,86.44678276352603,36.988077840236855,0.712,0.8841294027370726,11.587059726292736
window_006,30,pca_ridge,125,2025-12-29,2026-06-19,116.35084389748567,141.81125084704996,17.38230954205005,0.616,0.9664828014448015,3.3517198555198524
window_001,30,extra_trees,125,2023-08-07,2024-01-26,115.45592460679407,156.34131585302043,-46.61682907878866,0.624,0.996855852688015,0.31441473119849794
window_002,30,extra_trees,125,2024-01-29,2024-07-19,89.47285702153754,119.89170357652108,-20.406808005305113,0.576,0.9361921458795209,6.380785412047906
window_003,30,extra_trees,125,2024-07-22,2025-01-10,99.7781334766761,125.39744913256784,-33.766692281306895,0.48,1.0204483498728163,-2.0448349872816296
window_004,30,extra_trees,125,2025-01-13,2025-07-04,111.28491039058032,127.7423753212906,49.316646448053376,0.376,1.0430201560804078,-4.302015608040777
window_005,30,extra_trees,125,2025-07-07,2025-12-26,80.88638736739652,94.79018170563057,63.284130205288136,0.616,0.9627617196675037,3.723828033249632
window_006,30,extra_trees,125,2025-12-29,2026-06-19,124.42893301075985,156.04360301541055,67.46191208370216,0.528,1.0335844565337569,-3.3584456533756857
window_001,30,quantile_boosting,125,2023-08-07,2024-01-26,123.10555924925156,164.59267261856058,-71.4632217890721,0.624,1.0629034209720076,-6.290342097200763
window_002,30,quantile_boosting,125,2024-01-29,2024-07-19,97.88091997004845,133.3551572939272,-75.77139037780364,0.592,1.0241692459352587,-2.416924593525871
window_003,30,quantile_boosting,125,2024-07-22,2025-01-10,116.31561154749319,142.89401579133175,-79.5402724596507,0.4,1.1895800185100933,-18.95800185100933
window_004,30,quantile_boosting,125,2025-01-13,2025-07-04,128.7188931652704,146.78013527250044,78.70482234959168,0.368,1.2064205251954965,-20.642052519549647
window_005,30,quantile_boosting,125,2025-07-07,2025-12-26,79.43511396189996,92.93119675807121,59.874131927800114,0.584,0.9454877317313485,5.4512268268651525
window_006,30,quantile_boosting,125,2025-12-29,2026-06-19,135.82940296822846,172.01192593826414,67.87696434530865,0.36,1.1282838826246377,-12.828388262463776
window_001,30,regime_ridge,125,2023-08-07,2024-01-26,152.95818324932972,192.31438271914573,-100.5774481366988,0.624,1.3206534069854707,-32.065340698547075
window_002,30,regime_ridge,125,2024-01-29,2024-07-19,102.2686778520154,140.08975095935048,-63.90760928839604,0.504,1.0700802026640643,-7.008020266406434
window_003,30,regime_ridge,125,2024-07-22,2025-01-10,128.24493148683774,154.38965121662895,-79.18316958910488,0.416,1.3115832513131465,-31.158325131314648
