period,horizon_days,model,observations,test_start,test_end,mae_cop,rmse_cop,mean_error_cop,directional_accuracy,mase_vs_random_walk,skill_vs_random_walk_pct
normal,15,pca_ridge,452,2023-07-07,2026-05-15,73.91732150156801,98.76397581937914,-14.415175688087599,0.5663716814159292,0.9803349659825991,1.966503401740094
stress,15,pca_ridge,39,2024-08-06,2026-04-08,67.05199727013367,78.26199029954115,43.210013892512684,0.46153846153846156,1.0110920812944983,-1.1092081294498346
calm,15,extra_trees,259,2023-07-03,2026-01-12,74.78196972613924,101.28836098269126,-8.788721435595942,0.6332046332046332,0.9588746778500995,4.1125322149900505
normal,15,extra_trees,452,2023-07-07,2026-05-15,75.30106355411806,99.15856419658783,-2.4196847327678186,0.577433628318584,0.9986869664401179,0.1313033559882104
stress,15,extra_trees,39,2024-08-06,2026-04-08,64.16869408144055,75.95595666089588,44.187794292446455,0.5897435897435898,0.9676141068754228,3.238589312457718
calm,15,quantile_boosting,259,2023-07-03,2026-01-12,73.8291049684863,100.82515590555631,-17.13621788959901,0.6447876447876448,0.946656787750719,5.334321224928096
normal,15,quantile_boosting,452,2023-07-07,2026-05-15,75.80065047565792,101.16675330673364,-9.815673492662555,0.581858407079646,1.0053127818482523,-0.5312781848252346
stress,15,quantile_boosting,39,2024-08-06,2026-04-08,66.0009944331155,76.87497272371691,44.412355291717,0.5384615384615384,0.9952437741718041,0.47562258281959036
calm,15,regime_ridge,259,2023-07-03,2026-01-12,81.65675049539766,115.50578146470741,-39.35310080793205,0.5637065637065637,1.0470249795813007,-4.70249795813007
normal,15,regime_ridge,452,2023-07-07,2026-05-15,75.77247767798627,101.66065366196247,-8.37459403836226,0.5663716814159292,1.0049391376457026,-0.49391376457026404
stress,15,regime_ridge,39,2024-08-06,2026-04-08,103.5596484869996,115.82211850027306,89.87186535202946,0.1282051282051282,1.5615991288821207,-56.15991288821207
calm,15,ensemble_equal,259,2023-07-03,2026-01-12,74.2762137240245,99.42254305912557,-10.818134998285945,0.637065637065637,0.9523897373574314,4.761026264256863
normal,15,ensemble_equal,452,2023-07-07,2026-05-15,74.83940022965226,98.87670580354035,-6.659110852910806,0.5619469026548672,0.9925641160676785,0.743588393232153
stress,15,ensemble_equal,39,2024-08-06,2026-04-08,71.59947647542188,81.53511194244477,51.83873703840892,0.41025641025641024,1.0796645385144463,-7.966453851444633
calm,15,ensemble_weighted,259,2023-07-03,2026-01-12,74.23509155526867,99.46749366436815,-11.037896880391767,0.6293436293436293,0.9518624577676766,4.813754223232336
normal,15,ensemble_weighted,452,2023-07-07,2026-05-15,74.8246515128875,98.86569221511525,-6.844680478021755,0.5597345132743363,0.9923685099167229,0.7631490083277126
stress,15,ensemble_weighted,39,2024-08-06,2026-04-08,71.45044934417851,81.36712668578554,51.649701428370285,0.41025641025641024,1.0774173250318835,-7.741732503188348
calm,15,random_walk,259,2023-07-03,2026-01-12,77.98930501930501,100.826002654062,6.046988416988435,0.0,1.0,0.0
normal,15,random_walk,452,2023-07-07,2026-05-15,75.40006637168142,98.72549828776829,3.4283849557522115,0.0,1.0,0.0
stress,15,random_walk,39,2024-08-06,2026-04-08,66.31641025641026,78.75370412126982,47.217435897435884,0.0,1.0,0.0
calm,15,carry,259,2023-07-03,2026-01-12,80.0420760932915,102.11293256050816,16.06106459852927,0.416988416988417,1.0263211869047733,-2.6321186904773253
normal,15,carry,452,2023-07-07,2026-05-15,76.85395636484404,99.4511155586301,12.125766911864048,0.4336283185840708,1.0192823436785285,-1.9282343678528546
stress,15,carry,39,2024-08-06,2026-04-08,72.86409746740071,84.33217797490298,55.828364196021845,0.1282051282051282,1.0987340416297267,-9.873404162972665
calm,30,elastic_net,259,2023-07-03,2026-01-12,98.21457463194751,127.50328109609477,4.860300851686143,0.4671814671814672,1.0140216540443114,-1.4021654044311438
normal,30,elastic_net,452,2023-07-07,2026-05-15,103.20502215704971,126.32568121448804,32.98112534569786,0.41150442477876104,1.0281305874371527,-2.8130587437152688
stress,30,elastic_net,39,2024-08-06,2026-04-08,107.93983253617648,120.21038063110251,73.21751608752047,0.23076923076923078,1.0683477742811243,-6.834777428112426
calm,30,ridge,259,2023-07-03,2026-01-12,111.0282337169366,147.38876188236392,-61.34098365394736,0.5521235521235521,1.1463169659001349,-14.631696590013487
normal,30,ridge,452,2023-07-07,2026-05-15,102.24591787932536,129.52724822548635,-32.002320912591344,0.5597345132743363,1.0185759705797515,-1.8575970579751466
stress,30,ridge,39,2024-08-06,2026-04-08,82.88762848668361,97.81241923513592,18.94271763317246,0.7435897435897436,0.8203905020837448,17.960949791625524
calm,30,huber,259,2023-07-03,2026-01-12,130.82610548802853,168.02713451122665,-94.23612831856482,0.525096525096525,1.3507211569798325,-35.07211569798325
normal,30,huber,452,2023-07-07,2026-05-15,114.70505098650283,144.46325508954592,-40.04873406032202,0.5464601769911505,1.142694114955975,-14.269411495597506
stress,30,huber,39,2024-08-06,2026-04-08,77.1411349075858,96.41330791057153,2.611181308557941,0.7692307692307693,0.7635138747914768,23.648612520852318
calm,30,gradient_boosting,259,2023-07-03,2026-01-12,102.56826468022567,142.0447229778986,-34.37909356128342,0.5637065637065637,1.0589715609241732,-5.897156092417322
normal,30,gradient_boosting,452,2023-07-07,2026-05-15,115.91458718307672,145.53859098626577,9.298203038503289,0.48451327433628316,1.154743539822312,-15.474353982231204
stress,30,gradient_boosting,39,2024-08-06,2026-04-08,79.70192299033386,103.3537290649771,-19.554684046473422,0.7435897435897436,0.7888595899397063,21.11404100602937
calm,30,pca_ridge,259,2023-07-03,2026-01-12,105.83800768980196,143.49009993674744,-52.14435527714189,0.5135135135135135,1.0927301983493753,-9.273019834937536
normal,30,pca_ridge,452,2023-07-07,2026-05-15,97.4767058614369,123.15775168791194,-20.530311972953747,0.5619469026548672,0.9710649807937853,2.8935019206214663
stress,30,pca_ridge,39,2024-08-06,2026-04-08,84.08920232057035,97.31006763125028,35.087545214252025,0.7948717948717948,0.8322832269556043,16.77167730443957
calm,30,extra_trees,259,2023-07-03,2026-01-12,95.76321658859231,127.88008316835817,-18.951690296207786,0.4362934362934363,0.9887124761845796,1.128752381542042
normal,30,extra_trees,452,2023-07-07,2026-05-15,99.0697878036684,122.86342597015812,17.83477135513045,0.5376106194690266,0.9869352963934426,1.3064703606557426
stress,30,extra_trees,39,2024-08-06,2026-04-08,101.48384819065497,112.26426324730191,49.81235829088858,0.46153846153846156,1.0044488748269302,-0.4448874826930238
calm,30,quantile_boosting,259,2023-07-03,2026-01-12,96.41276085225395,132.0720856026626,-39.55928432619035,0.6293436293436293,0.9954187308426222,0.45812691573777764
normal,30,quantile_boosting,452,2023-07-07,2026-05-15,102.8441799751968,128.68889966589498,7.645261761836625,0.5331858407079646,1.0245358700808986,-2.4535870080898636
stress,30,quantile_boosting,39,2024-08-06,2026-04-08,82.0428519482771,97.47021519291526,19.157908783816602,0.6410256410256411,0.8120292223470079,18.797077765299207
calm,30,regime_ridge,259,2023-07-03,2026-01-12,107.30006062970176,148.69250144156362,-58.691580878747665,0.5366795366795367,1.1078252425011554,-10.782524250115543
normal,30,regime_ridge,452,2023-07-07,2026-05-15,104.6296888636117,131.75077135438175,-27.911711126746464,0.5331858407079646,1.0423231469396428,-4.232314693964279
stress,30,regime_ridge,39,2024-08-06,2026-04-08,170.15391565805513,185.62562133581656,143.48130416119457,0.3076923076923077,1.6841193172833193,-68.41193172833194
calm,30,ensemble_equal,259,2023-07-03,2026-01-12,99.74112163737792,135.5008290853505,-44.562276579652725,0.5482625482625483,1.0297825706417083,-2.9782570641708306
normal,30,ensemble_equal,452,2023-07-07,2026-05-15,99.61863663732336,124.88492696564082,-6.810073799765375,0.5287610619469026,0.9924029399437844,0.7597060056215632
stress,30,ensemble_equal,39,2024-08-06,2026-04-08,90.02007998054653,101.92414717430914,39.93046458923596,0.48717948717948717,0.8909848183764134,10.90151816235866
calm,30,ensemble_weighted,259,2023-07-03,2026-01-12,99.33458107126813,135.20164670954395,-43.748432063070595,0.5521235521235521,1.025585220718567,-2.558522071856695
normal,30,ensemble_weighted,452,2023-07-07,2026-05-15,99.45760908156721,124.56967961999449,-5.4467715169251125,0.5243362831858407,0.9907987800682968,0.9201219931703197
stress,30,ensemble_weighted,39,2024-08-06,2026-04-08,90.96685719348156,102.50370318450663,40.69840675731417,0.46153846153846156,0.9003556623402507,9.964433765974935
calm,30,random_walk,259,2023-07-03,2026-01-12,96.85648648648647,127.6599158403107,-7.832934362934321,0.0,1.0,0.0
normal,30,random_walk,452,2023-07-07,2026-05-15,100.38123893805309,123.37146814662967,20.649070796460173,0.0,1.0,0.0
stress,30,random_walk,39,2024-08-06,2026-04-08,101.03435897435891,113.37322480446647,61.172307692307676,0.0,1.0,0.0
calm,30,carry,259,2023-07-03,2026-01-12,99.73697314724984,127.88436174649325,12.15258432061803,0.4671814671814672,1.0297397393324323,-2.9739739332432347
normal,30,carry,452,2023-07-07,2026-05-15,104.49229909305102,127.9232274458718,38.01134497164177,0.41150442477876104,1.040954467174239,-4.095446717423901
stress,30,carry,39,2024-08-06,2026-04-08,111.49286213895296,123.71920830905879,78.36462153084885,0.23076923076923078,1.1035143219669288,-10.351432196692878
calm,45,elastic_net,259,2023-07-03,2026-01-12,97.4058832872158,121.06086178281504,18.838488283102347,0.444015444015444,1.0372386830154805,-3.72386830154805
normal,45,elastic_net,452,2023-07-07,2026-05-15,121.88791636485259,148.81317371600633,48.3120882792256,0.415929203539823,1.0360661996015714,-3.6066199601571425
stress,45,elastic_net,39,2024-08-06,2026-04-08,126.5995971975759,149.3445238201331,89.38952474137984,0.358974358974359,1.0558810565057624,-5.588105650576236
calm,45,ridge,259,2023-07-03,2026-01-12,121.016134270563,158.90476662279514,-78.76227337308339,0.5868725868725869,1.288655381978326,-28.865538197832596
normal,45,ridge,452,2023-07-07,2026-05-15,122.49840784639625,151.6078186110775,-36.892656153563536,0.5641592920353983,1.041255471910393,-4.125547191039303
stress,45,ridge,39,2024-08-06,2026-04-08,101.54313128775281,111.14731594819335,37.299983777023286,0.717948717948718,0.8469021317476099,15.309786825239014
calm,45,huber,259,2023-07-03,2026-01-12,155.3475691810412,191.6129013006727,-114.47887207403564,0.4980694980694981,1.6542379436350485,-65.42379436350485
normal,45,huber,452,2023-07-07,2026-05-15,143.28381531614627,177.3310808015269,-16.066480490351534,0.48451327433628316,1.2179346601893375,-21.79346601893375
stress,45,huber,39,2024-08-06,2026-04-08,137.42902182734528,157.4672885592797,79.44870257911802,0.28205128205128205,1.1462019151225964,-14.62019151225964
calm,45,gradient_boosting,259,2023-07-03,2026-01-12,121.3136923741104,156.76980662954068,-17.64420883125225,0.4247104247104247,1.2918239665137594,-29.182396651375942
normal,45,gradient_boosting,452,2023-07-07,2026-05-15,143.40105502951025,175.913601452632,32.922148559630735,0.44026548672566373,1.2189312159422785,-21.89312159422785
stress,45,gradient_boosting,39,2024-08-06,2026-04-08,111.79674987600661,140.9312286779279,70.92602252460293,0.6923076923076923,0.9324205841568711,6.757941584312888
calm,45,pca_ridge,259,2023-07-03,2026-01-12,113.7457637571362,150.88387226286707,-64.89566427247776,0.5405405405405406,1.211235935822848,-21.123593582284794
normal,45,pca_ridge,452,2023-07-07,2026-05-15,117.70131873463116,141.1552720663835,-27.90848498152857,0.5553097345132744,1.0004794702081463,-0.047947020814631536
stress,45,pca_ridge,39,2024-08-06,2026-04-08,114.8228293393783,124.52436349706065,40.60196231454452,0.6410256410256411,0.9576590529323189,4.23409470676811
calm,45,extra_trees,259,2023-07-03,2026-01-12,94.62929396929562,121.24649385215078,-7.423816696341489,0.4864864864864865,1.0076718257559214,-0.7671825755921402
normal,45,extra_trees,452,2023-07-07,2026-05-15,114.99399182405212,140.73158689340082,21.841681302699453,0.5707964601769911,0.9774667714355587,2.2533228564441288
stress,45,extra_trees,39,2024-08-06,2026-04-08,101.41167337067887,114.55338910878278,47.0532369392748,0.7435897435897436,0.8458057307523565,15.419426924764345
calm,45,quantile_boosting,259,2023-07-03,2026-01-12,107.11860553628627,143.3319787947893,-14.603850306277675,0.5019305019305019,1.1406658158963057,-14.066581589630566
normal,45,quantile_boosting,452,2023-07-07,2026-05-15,124.91342081966124,154.70848746078985,22.238994997990574,0.5154867256637168,1.0617834568642868,-6.178345686428677
stress,45,quantile_boosting,39,2024-08-06,2026-04-08,89.7224238483633,111.79897556224456,41.36223240865644,0.6923076923076923,0.7483136580396769,25.168634196032315
calm,45,regime_ridge,259,2023-07-03,2026-01-12,120.25534633254485,154.70479043098445,-70.33796323832861,0.525096525096525,1.2805540368413266,-28.055403684132663
normal,45,regime_ridge,452,2023-07-07,2026-05-15,122.83894171340366,150.56035680203445,-33.77505472726625,0.5221238938053098,1.0441500626126403,-4.415006261264032
stress,45,regime_ridge,39,2024-08-06,2026-04-08,164.73854504034986,184.2037460432514,161.66637951484984,0.5128205128205128,1.373972057059257,-37.39720570592571
calm,45,ensemble_equal,259,2023-07-03,2026-01-12,103.79045433975891,138.6786470772805,-44.13574419343196,0.5096525096525096,1.1052255832587816,-10.522558325878162
normal,45,ensemble_equal,452,2023-07-07,2026-05-15,117.96202924712425,145.06183098673495,0.9393378645626986,0.5331858407079646,1.0026955500126968,-0.26955500126968346
stress,45,ensemble_equal,39,2024-08-06,2026-04-08,107.41591514520937,122.69481461038123,70.4478913051873,0.717948717948718,0.8958830239566409,10.411697604335913
calm,45,ensemble_weighted,259,2023-07-03,2026-01-12,103.28122297015977,137.89130189682402,-41.32358044917777,0.5135135135135135,1.0998029695795266,-9.98029695795266
normal,45,ensemble_weighted,452,2023-07-07,2026-05-15,117.22250777366465,144.0696018726593,3.124214354112453,0.5199115044247787,0.9964095027540205,0.3590497245979485
stress,45,ensemble_weighted,39,2024-08-06,2026-04-08,107.31629079299208,122.51848348909748,69.68466465168018,0.717948717948718,0.8950521250548953,10.494787494510472
calm,45,random_walk,259,2023-07-03,2026-01-12,93.9088416988417,119.38414272090174,0.3226640926641196,0.0,1.0,0.0
normal,45,random_walk,452,2023-07-07,2026-05-15,117.64491150442478,143.93873952736163,30.297433628318593,0.0,1.0,0.0
stress,45,random_walk,39,2024-08-06,2026-04-08,119.89948717948707,138.38493326170345,71.96256410256407,0.0,1.0,0.0
calm,45,carry,259,2023-07-03,2026-01-12,101.08055587295476,123.0033147721283,30.237264979529396,0.444015444015444,1.0763688918356824,-7.636889183568241
normal,45,carry,452,2023-07-07,2026-05-15,124.52983555059565,152.11718332582828,56.29229529352904,0.415929203539823,1.0585229225652646,-5.852292256526459
stress,45,carry,39,2024-08-06,2026-04-08,128.74878616971094,152.9450800045273,97.70687449408352,0.358974358974359,1.0738059786442344,-7.380597864423444
calm,60,elastic_net,259,2023-07-03,2026-01-12,114.58797373580568,138.1206973073481,41.520069644484494,0.3667953667953668,1.077123493013306,-7.712349301330601
normal,60,elastic_net,452,2023-07-07,2026-05-15,150.29453193507092,180.2107907570227,62.965538784344325,0.37389380530973454,1.0459123835011812,-4.591238350118121
stress,60,elastic_net,39,2024-08-06,2026-04-08,125.4423134274685,159.0421869350974,108.28381869905766,0.28205128205128205,1.1123832077088125,-11.238320770881248
calm,60,ridge,259,2023-07-03,2026-01-12,150.33327813767963,187.341392996144,-89.05031729047721,0.5907335907335908,1.4131282750242082,-41.312827502420824
normal,60,ridge,452,2023-07-07,2026-05-15,146.1541674841264,183.66481228436206,-35.371378183263516,0.6150442477876106,1.0170992364379083,-1.7099236437908338
stress,60,ridge,39,2024-08-06,2026-04-08,106.88698698258322,120.13030610146477,66.49323330615812,0.6410256410256411,0.9478403753352674,5.215962466473256
calm,60,huber,259,2023-07-03,2026-01-12,171.38871390431473,201.75204637474263,-89.40843682701116,0.5752895752895753,1.6110487354397554,-61.104873543975536
normal,60,huber,452,2023-07-07,2026-05-15,148.40329235256058,188.71533162697332,30.593996341939945,0.5575221238938053,1.0327510869852858,-3.2751086985285838
stress,60,huber,39,2024-08-06,2026-04-08,155.24358751314654,197.0771017343466,139.58301191260398,0.3333333333333333,1.3766515869778524,-37.66515869778524
calm,60,gradient_boosting,259,2023-07-03,2026-01-12,135.62877728131096,171.48028422953598,12.117227571685271,0.4826254826254826,1.274906410992068,-27.490641099206805
normal,60,gradient_boosting,452,2023-07-07,2026-05-15,166.57873462904496,223.36474286801516,61.11967252325553,0.5553097345132744,1.159235529950905,-15.923552995090496
stress,60,gradient_boosting,39,2024-08-06,2026-04-08,203.4937213155583,260.95496811089123,175.60462788943067,0.6666666666666666,1.8045186849689945,-80.45186849689945
calm,60,pca_ridge,259,2023-07-03,2026-01-12,130.6755288245213,163.34724481207155,-63.43131990819502,0.6023166023166023,1.2283460250667437,-22.834602506674372
normal,60,pca_ridge,452,2023-07-07,2026-05-15,135.15657671433354,166.62515209860405,-28.162933965199894,0.6216814159292036,0.9405660703492454,5.943392965075455
stress,60,pca_ridge,39,2024-08-06,2026-04-08,102.57903474929992,128.86294848215636,63.44395492778127,0.717948717948718,0.9096388020942985,9.036119790570151
calm,60,extra_trees,259,2023-07-03,2026-01-12,109.40226639530886,142.26261982974643,-18.352059635306677,0.5328185328185329,1.0283780006004726,-2.8378000600472575
