horizon_days,feature,driver_group,feature_value,standardized_value,coefficient,contribution_log_return,contribution_cop_approx,direction
30,sofr_pct_1,rates_and_carry,0.0,-0.0297980610410785,-0.0,0.0,0.0,neutral
30,sofr_pct_5,rates_and_carry,0.013966480446927276,0.006872302613844048,-0.0,-0.0,-0.0,neutral
30,sofr_z_60,rates_and_carry,0.4513999876079178,0.2864012089097318,0.0,0.0,0.0,neutral
30,vix_level,global_risk,16.5,-0.4181309838092349,-0.0,0.0,0.0,neutral
30,vix_chg_1,global_risk,0.0,0.0009281915839740088,0.0,0.0,0.0,neutral
30,vix_pct_1,global_risk,0.0,-0.033225395619570816,0.0,-0.0,-0.0,neutral
30,vix_pct_5,global_risk,-0.023668639053254337,-0.21955518906062743,0.0,-0.0,-0.0,neutral
30,vix_z_60,global_risk,-0.6266609512382498,-0.43768662979552714,0.0,-0.0,-0.0,neutral
30,broad_usd_level,global_risk,120.5046,1.2241244071003419,-0.0,-0.0,-0.0,neutral
30,broad_usd_chg_1,global_risk,0.0,-0.008120582583677477,0.00020161176827620432,-1.637205014128164e-06,-0.005324370798496344,down
30,broad_usd_pct_1,global_risk,0.0,-0.009319330682356769,0.0008074223795385994,-7.524636155255581e-06,-0.024470944486868228,down
30,broad_usd_pct_5,global_risk,-0.0051687970101717,-0.7929682684372634,0.0,-0.0,-0.0,neutral
30,broad_usd_z_60,global_risk,0.9189796806794398,0.7451964754422156,0.0,0.0,0.0,neutral
30,brent_level,global_risk,69.56,0.129752204363456,0.0,0.0,0.0,neutral
30,brent_chg_1,global_risk,0.0,-0.00672904901727263,-0.0,0.0,0.0,neutral
30,brent_pct_1,global_risk,0.0,-0.024331305365501623,-0.0,0.0,0.0,neutral
30,brent_pct_5,global_risk,0.0,-0.055063484146060125,-0.0,0.0,0.0,neutral
30,brent_z_60,global_risk,-1.321540129215911,-1.143211482790001,-0.0,0.0,0.0,neutral
30,treasury_2y_level,rates_and_carry,4.26,1.0265884142209591,0.0,0.0,0.0,neutral
30,treasury_2y_chg_1,rates_and_carry,0.0,0.0027930025298527374,-0.0,-0.0,-0.0,neutral
30,treasury_2y_pct_1,rates_and_carry,0.0,-0.02091527649777397,-0.0,0.0,0.0,neutral
30,treasury_2y_pct_5,rates_and_carry,0.01187648456057011,0.1010158449473501,0.0,0.0,0.0,neutral
30,treasury_2y_z_60,rates_and_carry,1.6236956978927362,1.1058834704040752,0.0,0.0,0.0,neutral
30,treasury_10y_level,rates_and_carry,4.62,0.8996255915064798,0.0,0.0,0.0,neutral
30,treasury_10y_chg_1,rates_and_carry,0.0,0.002032056887477871,0.0,0.0,0.0,neutral
30,treasury_10y_pct_1,rates_and_carry,0.0,-0.010185129150638513,-0.0,0.0,0.0,neutral
30,treasury_10y_pct_5,rates_and_carry,0.013157894736842257,0.25868074828846294,0.0,0.0,0.0,neutral
30,treasury_10y_z_60,rates_and_carry,1.7749511925570642,1.3064828865577451,0.0,0.0,0.0,neutral
30,trm_realized_vol_20,technical_fx,0.11479999148834791,0.3552648605510398,-0.0,-0.0,-0.0,neutral
30,trm_momentum_5,technical_fx,-0.025318576715680052,-1.4808727348508073,0.0,-0.0,-0.0,neutral
30,trm_momentum_20,technical_fx,-0.05240165226070559,-1.5431597697502246,0.0,-0.0,-0.0,neutral
30,carry_spread_pp,rates_and_carry,7.553,2.985950651158915,-0.0,-0.0,-0.0,neutral
30,carry_to_risk,rates_and_carry,65.79268780491698,2.635716004295246,-0.0,-0.0,-0.0,neutral
30,intercept,base_model,,1.0,0.002315032250065891,0.002315032250065891,7.5287395307617855,up
45,policy_rate,rates_and_carry,12.0,1.411634379022399,0.0,0.0,0.0,neutral
45,ibr_on,rates_and_carry,11.183,2.3394465760035774,-0.0,-0.0,-0.0,neutral
45,reserves,external_flows,66957.39,1.6572633657048352,-0.0,-0.0,-0.0,neutral
45,tes_cop_1y,rates_and_carry,12.09,2.143200257849747,-0.0,-0.0,-0.0,neutral
45,tes_cop_5y,rates_and_carry,11.95,1.2943288996803228,-0.0,-0.0,-0.0,neutral
45,tes_cop_10y,rates_and_carry,11.84,0.9716162785332656,-0.0012100264529556824,-0.0011756813991476078,-3.823445234981927,down
45,inflation,domestic_macro,6.14,0.21271432293197823,0.0,0.0,0.0,neutral
45,current_account,external_flows,-1573.14,0.5359880132277842,-0.00018417154325102564,-9.871373956021216e-05,-0.3210279395611616,down
45,sofr,rates_and_carry,3.63,1.0755027379248505,-0.0,-0.0,-0.0,neutral
45,vix,global_risk,16.5,-0.41819372380125375,-0.0,0.0,0.0,neutral
45,broad_usd,global_risk,120.5046,1.2274920755532985,-0.0,-0.0,-0.0,neutral
45,brent,global_risk,69.56,0.13131965234990894,0.0,0.0,0.0,neutral
45,treasury_2y,rates_and_carry,4.26,1.0279362152751073,0.0,0.0,0.0,neutral
45,treasury_10y,rates_and_carry,4.62,0.9006370506390022,0.0,0.0,0.0,neutral
45,trm_chg_1,technical_fx,3.2400000000002365,0.13675920385574986,0.0,0.0,0.0,neutral
45,trm_pct_1,technical_fx,0.0009972698199682828,0.12252886440741473,0.0,0.0,0.0,neutral
45,trm_pct_5,technical_fx,-0.02500074951281661,-1.4657361826743995,0.0,-0.0,-0.0,neutral
45,trm_z_60,technical_fx,-1.955349525403085,-1.4013451529087328,0.0,-0.0,-0.0,neutral
45,policy_rate_level,rates_and_carry,12.0,1.411634379022399,0.0,0.0,0.0,neutral
45,policy_rate_chg_1,rates_and_carry,0.0,0.020665107888279147,0.0,0.0,0.0,neutral
45,policy_rate_pct_1,rates_and_carry,0.0,0.0024231908505039086,0.0,0.0,0.0,neutral
45,policy_rate_pct_5,rates_and_carry,0.0,0.005418483097638108,0.0,0.0,0.0,neutral
45,policy_rate_z_60,rates_and_carry,2.0929173491365414,1.7355462545484952,-0.0,-0.0,-0.0,neutral
45,ibr_on_level,rates_and_carry,11.183,2.3394465760035774,-0.0,-0.0,-0.0,neutral
45,ibr_on_chg_1,rates_and_carry,0.002000000000000668,0.031498047859888766,0.0,0.0,0.0,neutral
45,ibr_on_pct_1,rates_and_carry,0.0001788748770235049,0.008358075809188107,0.0,0.0,0.0,neutral
45,ibr_on_pct_5,rates_and_carry,-0.0007148601554821665,-0.04463993113299778,0.0,-0.0,-0.0,neutral
45,ibr_on_z_60,rates_and_carry,2.081320247768014,1.6265324850316547,0.0,0.0,0.0,neutral
45,reserves_level,external_flows,66957.39,1.6572633657048352,-0.0,-0.0,-0.0,neutral
45,reserves_chg_1,external_flows,0.0,-0.08326825377574525,-0.0,0.0,0.0,neutral
45,reserves_pct_1,external_flows,0.0,-0.07139427345202662,-0.0,0.0,0.0,neutral
45,reserves_pct_5,external_flows,0.0,-0.16129520558818689,-0.0,0.0,0.0,neutral
45,reserves_z_60,external_flows,-0.6993594824923999,-0.9213897993883433,0.0,-0.0,-0.0,neutral
45,tes_cop_1y_level,rates_and_carry,12.09,2.143200257849747,-0.0,-0.0,-0.0,neutral
45,tes_cop_1y_chg_1,rates_and_carry,0.0,-0.0026245802928029395,0.0,-0.0,-0.0,neutral
45,tes_cop_1y_pct_1,rates_and_carry,0.0,-0.012077919233558635,-0.0,0.0,0.0,neutral
45,tes_cop_1y_pct_5,rates_and_carry,-0.00738916256157629,-0.0761959657269206,-0.0,0.0,0.0,neutral
45,tes_cop_1y_z_60,rates_and_carry,-1.2348998119421888,-0.9202855676006821,-0.0,0.0,0.0,neutral
45,tes_cop_5y_level,rates_and_carry,11.95,1.2943288996803228,-0.0,-0.0,-0.0,neutral
45,tes_cop_5y_chg_1,rates_and_carry,0.0,0.0018689978924398883,0.0,0.0,0.0,neutral
45,tes_cop_5y_pct_1,rates_and_carry,0.0,-0.0052076923064931675,0.0,-0.0,-0.0,neutral
45,tes_cop_5y_pct_5,rates_and_carry,-0.011579818031430933,-0.40152498197025815,-0.0,0.0,0.0,neutral
45,tes_cop_5y_z_60,rates_and_carry,-1.1978112016763174,-0.8263030684552871,-0.0,0.0,0.0,neutral
45,tes_cop_10y_level,rates_and_carry,11.84,0.9716162785332656,-0.0012148915087584037,-0.0011804083665615044,-3.8388178529783343,down
45,tes_cop_10y_chg_1,rates_and_carry,0.0,0.0007941126906022101,0.0,0.0,0.0,neutral
45,tes_cop_10y_pct_1,rates_and_carry,0.0,-0.007998439395792126,0.0,-0.0,-0.0,neutral
45,tes_cop_10y_pct_5,rates_and_carry,-0.012510425354462118,-0.4159938707733042,-0.0,0.0,0.0,neutral
45,tes_cop_10y_z_60,rates_and_carry,-1.1765532369147178,-0.8741381460655973,-0.0,0.0,0.0,neutral
45,inflation_level,domestic_macro,6.14,0.21271432293197823,0.0,0.0,0.0,neutral
45,inflation_chg_1,domestic_macro,0.0,0.015537947153147665,-0.0,-0.0,-0.0,neutral
45,inflation_pct_1,domestic_macro,0.0,-0.001163551492576937,0.0,-0.0,-0.0,neutral
45,inflation_pct_5,domestic_macro,0.0,-0.0026017872776031253,0.0,-0.0,-0.0,neutral
45,inflation_z_60,domestic_macro,1.9540779104343686,1.2637516560740254,-0.0,-0.0,-0.0,neutral
45,current_account_level,external_flows,-1573.14,0.5359880132277842,-0.00017193493989294464,-9.21550668376579e-05,-0.29969841441341566,down
